post_type_id	tags	reputation	user_id	user_type	accept_rate	profile_image	display_name	link	is_answered	view_count	accepted_answer_id	answer_count	score	last_activity_date	creation_date	last_edited_date	post_id	parent_id	link	title
1	"['php', 'arrays', 'string']"	9	4493253	registered	N/A	https://www.gravatar.com/avatar/beef55c0a98310e1bc77a76da9d539da?s=128&d=identicon&r=PG&f=1	J.Doe	https://stackoverflow.com/users/4493253/j-doe	TRUE	41	N/A	2	1	1543985554	1543979896	N/A	53624661	N/A	https://stackoverflow.com/questions/53624661/formatting-string-for-an-array	formatting string for an array
1	"['php', 'arrays', 'string']"	11	7316513	registered	N/A	https://i.stack.imgur.com/kUvbv.jpg?s=128&g=1	Shuvashish Paul Sagar	https://stackoverflow.com/users/7316513/shuvashish-paul-sagar	TRUE	56	N/A	4	0	1543389289	1543388285	N/A	53513804	N/A	https://stackoverflow.com/questions/53513804/convert-string-into-array-separated-by-square-brackets	Convert String Into array separated by square brackets
1	"['php', 'arrays', 'string']"	9	7636813	registered	N/A	https://www.gravatar.com/avatar/6a5a2dc13608848765f9b951712dfa9a?s=128&d=identicon&r=PG&f=1	Tiago Paza	https://stackoverflow.com/users/7636813/tiago-paza	FALSE	48	N/A	0	0	1543182857	1543182462	N/A	53472322	N/A	https://stackoverflow.com/questions/53472322/error-on-search-letters-in-a-string-with-php	Error on search letters in a string with PHP
1	"['php', 'arrays', 'string']"	N/A	N/A	does_not_exist	N/A	N/A	user9819807	N/A	TRUE	33	53454066	2	-2	1543018449	1543015018	N/A	53453789	N/A	https://stackoverflow.com/questions/53453789/change-key-0-to-name-in-php-array	Change key [ 0 ] to [ Name ] in php array?
1	"['php', 'arrays', 'string']"	193	5703969	registered	60	https://www.gravatar.com/avatar/12203e58845f561c81d7c8e3faccca53?s=128&d=identicon&r=PG&f=1	Tom Canfarotta	https://stackoverflow.com/users/5703969/tom-canfarotta	TRUE	27075	34440908	4	13	1543007868	1450890666	N/A	34440610	N/A	https://stackoverflow.com/questions/34440610/php-add-single-quotes-to-comma-separated-list	PHP add single quotes to comma separated list
1	"['php', 'arrays', 'string']"	N/A	N/A	does_not_exist	N/A	N/A	user9819807	N/A	TRUE	34	53451043	2	1	1543000685	1542994595	N/A	53450937	N/A	https://stackoverflow.com/questions/53450937/put-string-in-array-split-by-every-second-line	"put string in array, split by every second line"
1	"['php', 'arrays', 'string']"	17	9505581	registered	N/A	https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg?sz=128	dixie motors	https://stackoverflow.com/users/9505581/dixie-motors	FALSE	30	N/A	1	-2	1542527671	1542511548	N/A	53357628	N/A	https://stackoverflow.com/questions/53357628/php-split-string-into-html-form	php split string into html form
1	"['php', 'arrays', 'string']"	422	9792447	registered	N/A	https://www.gravatar.com/avatar/0e15675567992dd70e33727301e6d1e5?s=128&d=identicon&r=PG&f=1	Dumitru	https://stackoverflow.com/users/9792447/dumitru	TRUE	45	53301493	2	1	1542203511	1542202269	N/A	53301418	N/A	https://stackoverflow.com/questions/53301418/how-to-insert-content-of-special-tag-in-string-into-array-using-php	How to insert content of special tag in string into array using php?
1	"['php', 'arrays', 'string']"	8	3108455	registered	N/A	https://www.gravatar.com/avatar/21f07c4501dab287488e87d9132e5378?s=128&d=identicon&r=PG&f=1	Walter	https://stackoverflow.com/users/3108455/walter	FALSE	39	N/A	0	0	1541519802	1541519802	N/A	53175473	N/A	https://stackoverflow.com/questions/53175473/how-to-select-an-item-for-a-category-using-a-comma-separated-string-in-a-row-ph	How to select an item for a category using a comma separated string in a row (PHP)
1	"['php', 'arrays', 'string']"	920	1330199	registered	79	https://www.gravatar.com/avatar/6d959cb05ca67708dc3c2b04b3579992?s=128&d=identicon&r=PG	Brian Smith	https://stackoverflow.com/users/1330199/brian-smith	TRUE	9651	44092239	4	3	1539781768	1495328521	N/A	44092218	N/A	https://stackoverflow.com/questions/44092218/cannot-assign-an-empty-string-to-a-string-offset	Cannot assign an empty string to a string offset
